phase_number,eval_stage,avg_cumulative_reward,avg_steps,success_rate,battery_depleted_rate,ran_out_of_steps_rate,avg_percent_delivered
1,0,-957.6644835461723,1000.0,0.0,0.0,1.0,0.0
1,1,-293.333202873002,623.84,0.42,0.0,0.58,0.42
1,2,-285.4676624348206,509.77,0.54,0.0,0.46,0.54
2,0,-317.1209729103525,400.0,0.0,1.0,0.0,0.43
2,1,-200.5031948825759,400.0,0.0,1.0,0.0,0.31
2,2,-203.43316949702407,405.66,0.0,1.0,0.0,0.67
3,0,-189.29930807279473,405.67,0.0,1.0,0.0,0.5100000000000001
3,1,-201.37682391630813,542.36,0.74,0.04,0.22,0.8833333333333334
3,2,-233.8147826245821,594.54,0.62,0.0,0.38,0.8066666666666668
4,0,-432.0726968799215,994.0,0.0,0.01,0.99,0.09666666666666666
4,1,-332.2910993541572,877.66,0.35,0.03,0.62,0.6366666666666666
4,2,-380.8671615604793,947.44,0.18,0.0,0.82,0.5766666666666663
5,0,-386.5423857078438,995.97,0.0,0.01,0.99,0.17666666666666664
5,1,-274.3692812513446,753.17,0.5,0.11,0.39,0.7433333333333334
5,2,-157.02599064497727,592.01,0.91,0.0,0.09,0.9633333333333333
