phase_number,eval_stage,avg_cumulative_reward,avg_steps,success_rate,battery_depleted_rate,ran_out_of_steps_rate,avg_percent_delivered
1,0,-2915.017309405791,1000.0,0.0,0.0,1.0,0.0
1,1,-920.194896585292,1000.0,0.0,0.0,1.0,0.0
1,2,-827.4938308480357,903.2,0.1,0.0,0.9,0.1
2,0,-347.03051263029664,400.0,0.0,1.0,0.0,0.1
2,1,-361.82991444815025,400.0,0.0,1.0,0.0,0.2
2,2,-247.18522354855304,400.1,0.0,1.0,0.0,0.3
3,0,-209.75430881165875,400.0,0.0,1.0,0.0,0.2333333333333333
3,1,-278.56073807967437,400.0,0.0,1.0,0.0,0.1
3,2,-241.47282331342907,400.0,0.0,1.0,0.0,0.13333333333333333
4,0,-260.07641092652193,400.0,0.0,1.0,0.0,0.2
4,1,-221.52585986860262,400.0,0.0,1.0,0.0,0.03333333333333333
4,2,-192.2449044861478,400.0,0.0,1.0,0.0,0.36666666666666664
5,0,-225.96758756184417,400.0,0.0,1.0,0.0,0.2
5,1,-171.48625991424234,400.0,0.0,1.0,0.0,0.2333333333333333
5,2,-166.28428243351192,400.0,0.0,1.0,0.0,0.3
