phase_number,eval_stage,avg_cumulative_reward,avg_steps,success_rate,battery_depleted_rate,ran_out_of_steps_rate,avg_percent_delivered
1,0,-2909.835652744232,1000.0,0.0,0.0,1.0,0.0
1,1,-318.88207641724455,672.35,0.36,0.0,0.64,0.36
1,2,-137.72787934898068,323.41,0.78,0.0,0.22,0.78
2,0,-238.75308997109357,400.0,0.0,1.0,0.0,0.76
2,1,-202.18859273914182,400.0,0.0,1.0,0.0,0.52
2,2,-198.47290264250336,399.36,0.01,0.99,0.0,0.72
3,0,-180.70096880164502,400.0,0.0,1.0,0.0,0.2833333333333333
3,1,-194.17084419812926,528.06,0.78,0.01,0.21,0.88
3,2,-261.2050589002707,667.38,0.72,0.01,0.27,0.8266666666666667
4,0,-442.9799817560384,986.39,0.0,0.04,0.96,0.056666666666666664
4,1,-455.79843251767403,912.04,0.25,0.0,0.75,0.57
4,2,-263.0121810549367,760.47,0.63,0.0,0.37,0.83
5,0,-404.5476436137197,1000.0,0.0,0.0,1.0,0.02333333333333333
5,1,-280.32552490513024,741.13,0.55,0.16,0.29,0.79
5,2,-200.78188369306497,677.46,0.73,0.0,0.27,0.8866666666666667
