phase_number,eval_stage,avg_cumulative_reward,avg_steps,success_rate,battery_depleted_rate,ran_out_of_steps_rate,avg_percent_delivered
1,0,-2909.835652744232,1000.0,0.0,0.0,1.0,0.0
1,1,-284.1978801035031,601.3,0.43,0.0,0.57,0.43
1,2,-188.78063911416834,434.88,0.62,0.0,0.38,0.62
2,0,-236.9374754215616,406.23,0.01,0.99,0.0,0.53
2,1,-200.82863126538686,400.01,0.0,1.0,0.0,0.53
2,2,-170.46092612969002,374.31,0.52,0.34,0.14,0.73
3,0,-180.740822566382,422.67,0.02,0.98,0.0,0.5799999999999998
3,1,-254.78328626910076,623.04,0.66,0.03,0.31,0.8166666666666669
3,2,-369.7483868383881,837.08,0.2,0.07,0.73,0.4700000000000001
4,0,-411.5208265793359,1000.0,0.0,0.0,1.0,0.0833333333333333
4,1,-236.26676954151446,634.46,0.62,0.26,0.12,0.7766666666666666
4,2,-318.28663467882456,834.11,0.4,0.03,0.57,0.65
5,0,-356.083153304433,865.32,0.0,0.36,0.64,0.20333333333333337
5,1,-183.79569810120435,634.52,0.75,0.01,0.24,0.8899999999999999
5,2,-186.3339093403866,586.29,0.67,0.3,0.03,0.8000000000000002
