phase_number,eval_stage,avg_cumulative_reward,avg_steps,success_rate,battery_depleted_rate,ran_out_of_steps_rate,avg_percent_delivered
1,0,-2908.866440690823,1000.0,0.0,0.0,1.0,0.0
1,1,-233.50181213890818,499.4,0.66,0.0,0.34,0.66
1,2,-236.09210228608796,433.38,0.65,0.0,0.35,0.65
2,0,-293.0486943814512,424.02,0.0,0.96,0.04,0.51
2,1,-261.7213958095333,511.61,0.09,0.77,0.14,0.55
2,2,-100.96021082213846,251.32,0.93,0.02,0.05,0.94
3,0,-322.92757193581815,786.06,0.5,0.0,0.5,0.7499999999999996
3,1,-158.03187136333125,464.51,0.91,0.0,0.09,0.9700000000000002
3,2,-124.00335821842178,389.25,0.92,0.01,0.07,0.9766666666666666
4,0,-431.4173974509616,986.55,0.0,0.03,0.97,0.13333333333333336
4,1,-342.29171452907786,808.66,0.31,0.22,0.47,0.5633333333333334
4,2,-241.02050608178638,643.78,0.41,0.45,0.14,0.7100000000000002
5,0,-230.91586777399726,579.26,0.04,0.86,0.1,0.27333333333333326
5,1,-413.14054461828556,756.81,0.13,0.43,0.44,0.4833333333333332
5,2,-211.00829993514705,488.79,0.06,0.88,0.06,0.26
