phase_number,eval_stage,avg_cumulative_reward,avg_steps,success_rate,battery_depleted_rate,ran_out_of_steps_rate,avg_percent_delivered
1,0,-2930.427361488589,1000.0,0.0,0.0,1.0,0.0
1,1,-426.4611596983657,916.93,0.09,0.0,0.91,0.09
1,2,-360.28633017075117,805.86,0.22,0.0,0.78,0.22
2,0,-194.13270057450734,400.04,0.0,1.0,0.0,0.44
2,1,-196.0865714470884,400.06,0.0,1.0,0.0,0.6
2,2,-197.01376507180603,400.12,0.0,1.0,0.0,0.56
3,0,-199.99458673632023,415.55,0.0,1.0,0.0,0.25
3,1,-392.11424463652685,928.09,0.18,0.02,0.8,0.45666666666666667
3,2,-313.0025263685695,752.33,0.39,0.01,0.6,0.6166666666666667
4,0,-429.43903037909956,952.46,0.0,0.16,0.84,0.016666666666666666
4,1,-392.4157422545878,938.98,0.18,0.0,0.82,0.38666666666666666
4,2,-214.7798729845872,643.17,0.8,0.0,0.2,0.9366666666666668
5,0,-418.56553012355243,964.0,0.0,0.06,0.94,0.07333333333333333
5,1,-156.6082432983244,571.63,0.87,0.0,0.13,0.96
5,2,-144.47279679075248,573.37,0.92,0.0,0.08,0.97
